subject,relation,object,source
"March 5, 1973",March,11,https://en.wikipedia.org/wiki/The_Godfather
Edward W. Coker Jr.,Jr.,"March 9, 1973",https://en.wikipedia.org/wiki/The_Godfather
Roberta Flack,be,Grammys,https://en.wikipedia.org/wiki/The_Godfather
Godfather,get,11,https://en.wikipedia.org/wiki/The_Godfather
Daytona Beach,Star,Morning Star,https://en.wikipedia.org/wiki/The_Godfather
Godfather,Godfather,Oscars,https://en.wikipedia.org/wiki/The_Godfather
"July 15, 2014",retrieve,Google News,https://en.wikipedia.org/wiki/The_Godfather
Lottie McGrath,reporter,Freelance News,https://en.wikipedia.org/wiki/The_Godfather
Al Pacino,set,Oscars,https://en.wikipedia.org/wiki/The_Godfather
Rudy Obias,Obias,"February 23, 2019",https://en.wikipedia.org/wiki/The_Godfather
Two years later,win,Rota,https://en.wikipedia.org/wiki/The_Godfather
March 13,retrieve,2018,https://en.wikipedia.org/wiki/The_Godfather
November 14,retrieve,2014,https://en.wikipedia.org/wiki/The_Godfather
AFI's 100 Years...100 Movies,year,10th,https://en.wikipedia.org/wiki/The_Godfather
AFI,-,10,https://en.wikipedia.org/wiki/The_Godfather
The Sight & Sound Top Ten Poll 1992,Poll,thependragonsociety,https://en.wikipedia.org/wiki/The_Godfather
April 6,retrieve,2014,https://en.wikipedia.org/wiki/The_Godfather
Carr,Jay,Jay,https://en.wikipedia.org/wiki/The_Godfather
The A List,List,The National Society of Film Critics',https://en.wikipedia.org/wiki/The_Godfather
January 2,retrieve,2014,https://en.wikipedia.org/wiki/The_Godfather
Cahiers du cinéma's 100 Greatest Films,Films,"November 23, 2008",https://en.wikipedia.org/wiki/The_Godfather
The Godfather,Godfather,15,https://en.wikipedia.org/wiki/The_Godfather
1,volume,3,https://en.wikipedia.org/wiki/The_Godfather
British Film Institute,Institute,2012,https://en.wikipedia.org/wiki/The_Godfather
July 3,retrieve,2014,https://en.wikipedia.org/wiki/The_Godfather
Italic Institute of America: Film Study 2015 : A Century of Little Progress,Institute,1914–2014),https://en.wikipedia.org/wiki/The_Godfather
Gambino,Gambino,Megan,https://en.wikipedia.org/wiki/The_Godfather
Goriot,Goriot,104,https://en.wikipedia.org/wiki/The_Godfather
Honoré de Balzac,view,1834,https://en.wikipedia.org/wiki/The_Godfather
Hughes,Hughes,Howard,https://en.wikipedia.org/wiki/The_Godfather
Stagecoach to Tombstone:,Stagecoach,The Filmgoers' Guide to the Great Westerns,https://en.wikipedia.org/wiki/The_Godfather
I.B. Tauris & Co Ltd.,Tauris,978,https://en.wikipedia.org/wiki/The_Godfather
Sifakis,Sifakis,Carl,https://en.wikipedia.org/wiki/The_Godfather
2006,Stefano,114,https://en.wikipedia.org/wiki/The_Godfather
Marlon Brando's,imitate,Godfather,https://en.wikipedia.org/wiki/The_Godfather
Rome,Kington,Tom Kington,https://en.wikipedia.org/wiki/The_Godfather
Collis,Clark,Clark,https://en.wikipedia.org/wiki/The_Godfather
five,moment,John Belushi,https://en.wikipedia.org/wiki/The_Godfather
Reardon,Reardon,Jim,https://en.wikipedia.org/wiki/The_Godfather
Simpsons,commentary,Mr. Plow,https://en.wikipedia.org/wiki/The_Godfather
Loughrey,Clarisse,Clarisse,https://en.wikipedia.org/wiki/The_Godfather
Modern Family,Family,Fulgencio,https://en.wikipedia.org/wiki/The_Godfather
Slagle,Slagle,Matt,https://en.wikipedia.org/wiki/The_Godfather
Godinez,Godinez,Victor,https://en.wikipedia.org/wiki/The_Godfather
Petski,Petski,Denise,https://en.wikipedia.org/wiki/The_Godfather
The Offer',get,Paramount+,https://en.wikipedia.org/wiki/The_Godfather
Tinoco,Tinoco,Armando,https://en.wikipedia.org/wiki/The_Godfather
Seth MacFarlane,explain,The Godfather,https://en.wikipedia.org/wiki/The_Godfather
Block,bibliography,Alex Ben,https://en.wikipedia.org/wiki/The_Godfather
George Lucas's,Blockbusting,Decade,https://en.wikipedia.org/wiki/The_Godfather
New York,York,New York,https://en.wikipedia.org/wiki/The_Godfather
Browne,Browne,Nick,https://en.wikipedia.org/wiki/The_Godfather
Browne,in,Nick,https://en.wikipedia.org/wiki/The_Godfather
Francis Ford Coppola's,Trilogy,The Godfather Trilogy,https://en.wikipedia.org/wiki/The_Godfather
Coppola,Coppola,Francis F,https://en.wikipedia.org/wiki/The_Godfather
Cowie,Cowie,Peter,https://en.wikipedia.org/wiki/The_Godfather
London,London,England,https://en.wikipedia.org/wiki/The_Godfather
De Stefano,Stefano,George,https://en.wikipedia.org/wiki/The_Godfather
New York,York,Faber and Faber,https://en.wikipedia.org/wiki/The_Godfather
Gelmis,Gelmis,Joseph,https://en.wikipedia.org/wiki/The_Godfather
4,4,34,https://en.wikipedia.org/wiki/The_Godfather
0028,ISSN,7369,https://en.wikipedia.org/wiki/The_Godfather
Jones,Jones,Jenny M.,https://en.wikipedia.org/wiki/The_Godfather
Lebo,Harlan,Harlan,https://en.wikipedia.org/wiki/The_Godfather
Phillips,Phillips,Gene D.,https://en.wikipedia.org/wiki/The_Godfather
Lexington,Lexington,Kentucky,https://en.wikipedia.org/wiki/The_Godfather
Santopietro,Santopietro,Tom,https://en.wikipedia.org/wiki/The_Godfather
Stanley,Stanley,Timothy,https://en.wikipedia.org/wiki/The_Godfather
Williams,Williams,Joe,https://en.wikipedia.org/wiki/The_Godfather
Minneapolis,Minneapolis,Minnesota,https://en.wikipedia.org/wiki/The_Godfather
Welsh,Welsh,James M.,https://en.wikipedia.org/wiki/The_Godfather
"Lanham, Maryland",Lanham,Scarecrow Press,https://en.wikipedia.org/wiki/The_Godfather
Gunden,Gunden,Kenneth,https://en.wikipedia.org/wiki/The_Godfather
Postmodern Auteurs:,Auteurs,Coppola,https://en.wikipedia.org/wiki/The_Godfather
BAFTA winners,winner,Best Drama Picture Golden Globe,https://en.wikipedia.org/wiki/The_Godfather
English,film,Italian-American,https://en.wikipedia.org/wiki/The_Godfather
Nino Rota,film,Italy,https://en.wikipedia.org/wiki/The_Godfather
the Las Vegas Valley,Films,New York,https://en.wikipedia.org/wiki/The_Godfather
Paramount Pictures,film,Saturn Award,https://en.wikipedia.org/wiki/The_Godfather
Parasite,be,2019,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Song Kang-ho,star,Lee Sun-kyun,https://en.wikipedia.org/wiki/Parasite_(2019_film)
15,adapt,three,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Bong,say,Korean,https://en.wikipedia.org/wiki/Parasite_(2019_film)
May to September 2018,run,"Hong Kyung-pyo,[5",https://en.wikipedia.org/wiki/Parasite_(2019_film)
Parasite,premier,21 May 2019,https://en.wikipedia.org/wiki/Parasite_(2019_film)
South Korea,release,CJ Entertainment,https://en.wikipedia.org/wiki/Parasite_(2019_film)
three,win,Oscars,https://en.wikipedia.org/wiki/Parasite_(2019_film)
first,be,South Korean,https://en.wikipedia.org/wiki/Parasite_(2019_film)
the Golden Globe Award,win,Best Foreign Language Film,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Parasite,regard,Bong,https://en.wikipedia.org/wiki/Parasite_(2019_film)
2025,rank,The New York Times,https://en.wikipedia.org/wiki/Parasite_(2019_film)
February 2025,be,HBO,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Chung-sook,live,Seoul,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Min,give,hyuk,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Ki-woo,suggest,Min,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Min,trust,-hyuk,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Ki-jung,go,Ki,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Kims,be,Park,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Ki-woo,recommend,Jessica,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Ki-jung,frame,Yoon,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Kims,exploit,Parks,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Ki-woo,begin,Da-hye,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Parks,revel,Kims,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Moon-gwang's,hide,Geun-sae,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Moon-gwang,beg,Chung-sook,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Moon-gwang,film,Parks,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Parks,destroy,Kims,https://en.wikipedia.org/wiki/Parasite_(2019_film)
The next day,organise,Park,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Moon-gwang,bludgeon,the previous day's,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Geun-sae,leave,Ki-jung,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Chung-sook,impale,Geun-sae,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Ki-taek,order,Ki-jung,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Ki-taek,stab,Parks,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Weeks later,recover,Ki-woo,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Ki-jung,die,Ki,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Ki-woo,spy,Parks,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Ki-taek,bury,Moon-gwang,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Ki-woo,write,Ki-taek,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Song Kang-ho,ho,Kim Ki-taek,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Choi,say,Park So-,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Jang Hye-jin,jin,Chung-sook,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Bong Joon Ho,say,Park Myung-hoon,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Snowpiercer,encourage,Bong,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Seoul,be,his early 20s,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Parasite,select,Bong,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Snowpiercer,write,Bong,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Okja,return,Bong,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Han,credit,Bong,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Bong,reference,Kurosawa,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Moon-gwang's,inspire,one,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Darcy Paquet,translate,American,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Neoguri,be,Nongshim.[24,https://en.wikipedia.org/wiki/Parasite_(2019_film)
English,show,English,https://en.wikipedia.org/wiki/Parasite_(2019_film)
one,use,Paquet,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Paquet,choose,Oxford,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Parasite,begin,18 May 2018[26][27,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Hong Kyung-pyo,be,South Korean,https://en.wikipedia.org/wiki/Parasite_(2019_film)
the Arri Alexa 65,be,Angénieux,https://en.wikipedia.org/wiki/Parasite_(2019_film)
second,explain,Yang Jin-mo,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Namgoong Hyeonja,create,Lee Ha-jun,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Lee,design,Park,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Ha-jun,build,Namgoong,https://en.wikipedia.org/wiki/Parasite_(2019_film)
South Korean,be,Seung-mo Park,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Kims,visit,Kims,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Lee Ha-,visit,South Korea,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Kims,create,Yang Jin-mo,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Yang,predate,Final Cut Pro 7,https://en.wikipedia.org/wiki/Parasite_(2019_film)
26 January 2020,debut,the International Film Festival Rotterdam,https://en.wikipedia.org/wiki/Parasite_(2019_film)
South Korean,consist,Jung Jae-il,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Handel,have,Rodelinda,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Korea,record,Genie Music,https://en.wikipedia.org/wiki/Parasite_(2019_film)
11 October 2019,release,Milan Records.[44,https://en.wikipedia.org/wiki/Parasite_(2019_film)
English,release,English,https://en.wikipedia.org/wiki/Parasite_(2019_film)
14 February 2020,release,Sacred Bones Records,https://en.wikipedia.org/wiki/Parasite_(2019_film)
English,be,Soju One Glass,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Bong Joon Ho,consider,South Korea,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Coronavirus Capitalism Goes to the Cinema,write,Nulman,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Nulman,note,Karl Marx,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Pierre Bourdieu's,argue,Bong,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Kims,be,Seoul,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Bong,describe,Ki-woo,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Choi Woo-shik,estimate,approximately 564 years,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Da-song,obsess,Indians,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Nulman,make,Park,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Nulman,think,Spaniards,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Bong,note,the United States,https://en.wikipedia.org/wiki/Parasite_(2019_film)
US,mention,Che Guevara,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Kims,be,Geun-sae,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Ki,become,taek,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Parasite,say,US,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Darcy Paquet,provide,American,https://en.wikipedia.org/wiki/Parasite_(2019_film)
German,sell,Koch Films,https://en.wikipedia.org/wiki/Parasite_(2019_film)
2019,have,Cannes Film Festival,https://en.wikipedia.org/wiki/Parasite_(2019_film)
South Korea,release,30 May 2019.[2][28,https://en.wikipedia.org/wiki/Parasite_(2019_film)
the Toronto International Film Festival,screen,Toronto,https://en.wikipedia.org/wiki/Parasite_(2019_film)
South Africa,release,Brandchina,https://en.wikipedia.org/wiki/Parasite_(2019_film)
FIRST International Film Festival Xining,schedule,China,https://en.wikipedia.org/wiki/Parasite_(2019_film)
the United Kingdom,license,Ireland,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Neon,expand,North American,https://en.wikipedia.org/wiki/Parasite_(2019_film)
IMAX,show,North American,https://en.wikipedia.org/wiki/Parasite_(2019_film)
IMAX,medium,7 February 2025,https://en.wikipedia.org/wiki/Parasite_(2019_film)
December 2019,earn,$90 million,https://en.wikipedia.org/wiki/Parasite_(2019_film)
28 January 2020,release,Parasite,https://en.wikipedia.org/wiki/Parasite_(2019_film)
The Criterion Collection,release,October 2020.[83][84][85,https://en.wikipedia.org/wiki/Parasite_(2019_film)
24 February 2020,announce,Hulu,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Amazon Prime Video,begin,US,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Netflix,come,US,https://en.wikipedia.org/wiki/Parasite_(2019_film)
UK,have,2020,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Bong,oversee,Hong Kyung-pyo.[90,https://en.wikipedia.org/wiki/Parasite_(2019_film)
$71.4 million,gross,South Korea,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Bong,set,first,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Deadline Hollywood,calculate,$46.2 million.[8,https://en.wikipedia.org/wiki/Parasite_(2019_film)
South Korea,gross,Parasite,https://en.wikipedia.org/wiki/Parasite_(2019_film)
$72.2 million,close,more than 10 million,https://en.wikipedia.org/wiki/Parasite_(2019_film)
"125,421",be,La La Land's,https://en.wikipedia.org/wiki/Parasite_(2019_film)
33,expand,its second weekend,https://en.wikipedia.org/wiki/Parasite_(2019_film)
$2.5 million,make,fourth,https://en.wikipedia.org/wiki/Parasite_(2019_film)
sixth,peak,620,https://en.wikipedia.org/wiki/Parasite_(2019_film)
the following weekends,continue,$1.3 million,https://en.wikipedia.org/wiki/Parasite_(2019_film)
the weekend,make,Oscars,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Neon,become,the week,https://en.wikipedia.org/wiki/Parasite_(2019_film)
UK,break,the opening weekend,https://en.wikipedia.org/wiki/Parasite_(2019_film)
The Associated Press,report,Oscar,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Parasite,increase,more than 230%,https://en.wikipedia.org/wiki/Parasite_(2019_film)
1,rank,Japan,https://en.wikipedia.org/wiki/Parasite_(2019_film)
The Motion Picture Distributors Association of Australia,announce,749,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Parasite,surge,fourth,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Parasite,read,Bong Joon Ho,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Metacritic,identify,56,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Parasite,rat,seventh,https://en.wikipedia.org/wiki/Parasite_(2019_film)
20 November 2021,be,forty-ninth,https://en.wikipedia.org/wiki/Parasite_(2019_film)
The New York Times,call,A. O. Scott,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Bilge Ebiri,write,Vulture,https://en.wikipedia.org/wiki/Parasite_(2019_film)
five,praise,Dave Calhoun,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Variety,be,Jessica Kiang,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Joshua Rivera,give,GQ,https://en.wikipedia.org/wiki/Parasite_(2019_film)
UK,award,TheShiznit,https://en.wikipedia.org/wiki/Parasite_(2019_film)
The A.V. Club's,award,A. A. Dowd,https://en.wikipedia.org/wiki/Parasite_(2019_film)
over 240,appear,year-end,https://en.wikipedia.org/wiki/Parasite_(2019_film)
June 2025,rank,New York Times,https://en.wikipedia.org/wiki/Parasite_(2019_film)
July 2025,rank,four,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Accolades,win,the Palme d'Or,https://en.wikipedia.org/wiki/Parasite_(2019_film)
first,become,South Korean,https://en.wikipedia.org/wiki/Parasite_(2019_film)
77th,nominate,Golden Globe Awards,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Parasite,nominate,four,https://en.wikipedia.org/wiki/Parasite_(2019_film)
four,go,Best Picture,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Parasite,become,first,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Best Film Editing,receive,Best Production Design.[146][147][148,https://en.wikipedia.org/wiki/Parasite_(2019_film)
second,be,the Academy Award,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Bong,pause,Oscars,https://en.wikipedia.org/wiki/Parasite_(2019_film)
The next day,send,Scorsese,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Bong,add,Scorsese,https://en.wikipedia.org/wiki/Parasite_(2019_film)
The Associated Press,comment,the Academy of Motion Picture Arts and Sciences,https://en.wikipedia.org/wiki/Parasite_(2019_film)
The Wall Street Journal,write,Oscars,https://en.wikipedia.org/wiki/Parasite_(2019_film)
AP,note,Oscar,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Justin Chang,write,the Los Angeles Times,https://en.wikipedia.org/wiki/Parasite_(2019_film)
2021,rank,the Writers Guild of America,https://en.wikipedia.org/wiki/Parasite_(2019_film)
decennial,tie,the British Film Institute's,https://en.wikipedia.org/wiki/Parasite_(2019_film)
28 March 2023,reveal,Cannes Film Festival,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Parasite,win,Korean,https://en.wikipedia.org/wiki/Parasite_(2019_film)
six-hour,announce,HBO,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Bong,say,Parasite,https://en.wikipedia.org/wiki/Parasite_(2019_film)
February 2020,rumour,Mark Ruffalo,https://en.wikipedia.org/wiki/Parasite_(2019_film)
October 2022,announce,Swinton,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Bong,confirm,February 2025,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Goyang,announce,$150 million,https://en.wikipedia.org/wiki/Parasite_(2019_film)
South Korea,make,STO,https://en.wikipedia.org/wiki/Parasite_(2019_film)
The Justice Party,claim,Seoul,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Seoul,announce,"1,500",https://en.wikipedia.org/wiki/Parasite_(2019_film)
Nongshim,begin,Chapagetti,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Botz,bibliography,Bornstein,https://en.wikipedia.org/wiki/Parasite_(2019_film)
South Korean,see,the Academy Award for Best International Feature Film,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Academy,qualify.[10,The Artist,https://en.wikipedia.org/wiki/Parasite_(2019_film)
The Last Emperor,consider,1987,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Anora,be,2024,https://en.wikipedia.org/wiki/Parasite_(2019_film)
GISAENGCHUNG – Festival de Cannes 2019,reference,Cannes Film Festival,https://en.wikipedia.org/wiki/Parasite_(2019_film)
SOUTH KOREA,country,132 minutes,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Edelstein,Edelstein,David,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Bong Joon-ho's,be,Parasite Is an Acid-Black,https://en.wikipedia.org/wiki/Parasite_(2019_film)
D'Alessandro,D'Alessandro,Anthony,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Hoad,Hoad,Phil,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Parasite,kickstart,Oscar,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Harris,Hunter,Hunter,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Parasite,be,Choi Woo-shik,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Lattanzio,Ryan,Ryan,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Bong Joon Ho,reveal,Parasite,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Park,Park,Bo-ram,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Making of 'Parasite',making,Bong Joon Ho's,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Ankers,Ankers,Adele,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Parasite: Bong Joon-ho,reveal,Oscar,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Ulaby,Neda,Neda,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Parasite,want,Bong Joon-ho,https://en.wikipedia.org/wiki/Parasite_(2019_film)
O'Falt,O'Falt,Chris,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Building the 'Parasite' House,make,Bong Joon Ho,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Jung,Jung,E. Alex,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Sims,Sims,David,https://en.wikipedia.org/wiki/Parasite_(2019_film)
El-Mahmoud,Mahmoud,Sarah,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Parasite's,base,Bong Joon-Ho's,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Han,Han,Karen,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Bong Joon-ho,ho,Parasite,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Rochlin,Rochlin,Margy,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Bong Joon Ho's,illustrate,Parasite,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Bong Joon-ho's,enter,Parasite Enters Production,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Bong Joon-ho's,Production,Parasite Wraps Production,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Zack Sharf,Sharf,6 March 2020,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Bong Joon Ho,be,Oscars,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Kim,-,17 June 2019,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Wallace,Wallace,Rachel,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Buder,Buder,Emily,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Parasite,teach,Jinmo Yang,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Academy Award,share,Jin-mo Yang,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Ritman,Ritman,Alex,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Bong Joon Ho,talk,Parasite,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Pentreath,Pentreath,Rosie,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Parasite' Music,Jaeil,Jung Jaeil,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Billboard,Billboard,5 March 2020,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Bong Joon-ho,push,Parasite,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Zoe Pharo,Pharo,30 May 2020,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Carl,meet,Russian,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Demartino,Demartino,Chris,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Sacred Bones Announces,announce,Parasite,https://en.wikipedia.org/wiki/Parasite_(2019_film)
MacDonald,MacDonald,Joan,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Bong Joon-ho's,nominate,Glass of Soju,https://en.wikipedia.org/wiki/Parasite_(2019_film)
92nd,shortlist,OSCARS SHORTLISTS,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Ulaby,Ulaby,5 November 2019,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Holub,Holub,15 October 2019,https://en.wikipedia.org/wiki/Parasite_(2019_film)
From Parasite to Hustlers,become,2019,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Nulman,Nulman,Eugene,https://en.wikipedia.org/wiki/Parasite_(2019_film)
London,London,Routledge,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Bean,Bean,Travis,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Kim,soo,Min-soo,https://en.wikipedia.org/wiki/Parasite_(2019_film)
"Why ""Parasite""",be,Bong Joon-ho's,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Kasulis,Kasulis,Kelly,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Oscar,speak,Parasite,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Rao,Rao,Sonia,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Unpacking the 'metaphorical,unpack,Parasite,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Farahbakhsh,Farahbakhsh,Alireza,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Park,Park,Ju-Hyun,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Chu,Chu,Li-Wei,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Interview: Dissecting the hidden motifs of 'Parasite,interview,Bong Joon-Ho,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Cea,Cea,4 November 2019,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Holub,Holub,23 October 2019,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Parasite,discuss,Bong Joon Ho,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Beck,Beck,Bernard,https://en.wikipedia.org/wiki/Parasite_(2019_film)
The Last Laugh,Laugh,"Parasite, Joker, Dark Waters and the Outcasts' Revenge",https://en.wikipedia.org/wiki/Parasite_(2019_film)
22,22,2,https://en.wikipedia.org/wiki/Parasite_(2019_film)
McNary,McNary,Dave,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Bong Joon-Ho's,Parasite,Parasite,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Noh,Noh,Jean,https://en.wikipedia.org/wiki/Parasite_(2019_film)
